word,count
나오고,3702
있으며,3697
달려,3697
설명서,3696
까요,3695
싶은,3695
그랬을까요,3694
누워,3688
보신,3685
그랬는데,3684
서거,3683
아닌데,3682
여유가,3675
사건이,3674
가입돼,3674
가다,3672
가장,3671
옛날에,3665
봐서,3658
이유가,3654
보행,3652
얘기하는,3644
놓은,3643
결과가,3641
실제로,3639
보니,3637
보이면,3627
필요할,3627
쳐서,3626
데요,3625
드립니다,3625
가면은,3623
했을까요,3621
들어오고,3620
곳에,3620
만약,3604
만들어,3590
받았습니다,3588
수는,3587
보이겠죠,3573
알려,3573
할증,3570
아무런,3568
인지,3564
없었어요,3561
후진,3558
계시네요,3555
약관을,3554
오는데,3547
도움이,3545
못해,3543
자는,3543
보실까요,3536
이름을,3532
바뀌었어요,3527
스트레스,3517
물이,3515
갈라,3515
사람을,3515
어떤가요,3512
실제,3512
저저,3510
거고,3506
블랙박스가,3505
났을,3503
대비해서,3503
될까,3503
오면,3503
앉아,3502
아닙니까,3502
쓰니까,3502
있나요,3500
필요한,3498
신경,3498
마음,3497
바퀴가,3493
검찰에서,3489
뭐야,3489
했으면,3485
최소한,3483
보이지만,3479
확인,3478
단계부터,3476
생각하고,3475
늦게,3472
써야지,3468
보이네요,3465
봐도,3464
아니잖아요,3460
의견도,3454
수밖에,3453
급발진,3450
붙어,3444
남편,3441
없어야,3439
차로에서,3438
잡고,3438
한문철이,3435
철의,3435
손을,3432
이번에,3428
일까요,3422
됐다,3418
그러다,3415
튀어,3408
페달,3407
투표해,3406
래요,3405
제한,3401
않느냐,3397
어렵습니다,3396
정선,3395
의무,3395
쓰는,3393
금방,3393
반드시,3392
그리고요,3391
중앙,3389
차고,3387
여기요,3386
줍니다,3383
전도,3381
중앙선이,3380
왔습니다,3377
변호사를,3377
비가,3376
그러세요,3375
사진,3374
이래,3374
차에게,3373
문제는,3373
네요,3372
고속도로에서,3370
않을까요,3368
차로로,3362
년에,3360
안녕하세요,3351
없네요,3347
아닌가,3338
멈추고,3332
전방,3331
아는,3330
직자,3328
상황,3323
문을,3318
잘못했습니까,3315
알았는데,3301
다닐,3301
변경,3296
담당,3296
데서,3295
돈이,3294
똑같아요,3292
적이,3290
올라,3287
설명,3287
하네요,3287
주십시오,3285
있게,3284
그랬을,3283
답변,3282
블러,3280
하십시오,3280
마치,3279
또한,3277
적어,3277
돈으로,3273
자체가,3272
정식,3271
거야,3266
되겠습니까,3263
개가,3260
아요,3259
자전거는,3258
저거는,3258
작은,3257
아이고,3256
그런거,3255
브레이크를,3254
들어가면,3253
이고,3250
합의가,3249
마지막,3248
누구,3248
안되죠,3245
이야,3244
앞서,3237
책임져야,3236
지금이,3228
여기다,3226
빼고,3217
지나간,3217
되는지,3217
말을,3216
조그만,3214
있도록,3213
아직도,3208
직원이,3205
대물,3205
지나가는데,3204
걸어,3204
아니라는,3202
없음,3202
일에,3200
생각할,3200
당연한,3198
했던,3198
플랜은,3198
판결을,3198
있어도,3193
있으면은,3191
연락이,3189
들어와,3189
변호사의,3188
위에,3186
어디가,3185
봐야죠,3180
얼른,3179
친구,3177
자전거를,3174
증거,3173
적색,3163
가던,3157
저쪽에,3154
보험사에,3154
하는게,3153
백대빵,3146
되는거,3146
대부분,3146
여긴,3141
앞차를,3140
확인하고,3137
않죠,3133
마음은,3130
안됩니다,3126
해줘야,3125
굳이,3124
통해,3123
과실비율,3121
좋겠습니다,3114
잡은,3111
하기,3110
느낌이,3107
주면,3104
특학,3104
유튜브,3102
프로,3101
많네요,3101
읽어보시기,3096
이렇게요,3095
했대요,3085
초로,3080
이거를,3076
진행,3068
책임이,3064
이구요,3057
가야지,3055
잡을,3053
아니겠습니까,3047
두번째,3042
두고,3042
한답니다,3037
어린,3032
보겠읍니다,3031
보였어요,3030
별로,3018
자가,3014
바뀐,3005
일시,3005
자전거도,3004
떨어져,3003
스마트폰,3002
사람들,2992
보였을,2992
보이나요,2991
들어갔어요,2990
판단,2989
가게,2988
위험한,2982
빵입니다,2977
버스는,2974
조금씩,2970
운전자의,2969
정상,2965
뭔가요,2964
서울,2963
괜찮아요,2960
빨간불이,2959
있었대요,2959
좋게,2953
대해,2953
예요,2952
기소,2951
분의,2946
금지,2943
받아서,2938
않나요,2929
원을,2928
이쪽에,2927
아니라고,2927
이런게,2926
차량을,2925
세우고,2925
밀고,2924
같습니다,2923
자주,2922
노란,2922
잘못이라고,2920
실험,2917
들이받은,2916
못해요,2912
중간에,2912
빵을,2910
작년,2910
보시면,2908
그럼요,2906
카페,2905
본인,2900
차들은,2898
초벌,2896
행단보도,2894
확인해,2892
있었고,2891
약식,2891
돌아서,2890
저랑,2885
비용,2881
새로운,2880
하고요,2879
마음이,2877
필요합니다,2875
해야돼요,2874
몸이,2874
